Query #,Timestamp,Question,Category,Expected Table,Status,SQL Generated,Data Rows,Insights,Retrieval Accuracy,Generation Fidelity,Latency (s),Retrieval Passed,Fidelity Passed,Overall Passed,Retrieval Details,Fidelity Details
1,2026-02-04T11:26:47.935775,كم عدد المناقصات الحالية في قاعدة البيانات؟,count,tenders_full_details,success,SELECT COUNT(*) as total FROM tenders_full_details,1,يوجد 2414 مناقصة حالية في قاعدة البيانات,1.00,1.00,2.354,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 1 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
2,2026-02-04T11:26:48.855600,كم عدد المشاريع المستقبلية؟,count,future_projects,success,SELECT COUNT(*) as total FROM future_projects,1,يبلغ عدد المشاريع المستقبلية 37764 مشروع,1.00,1.00,0.920,True,True,True,Valid SQL generated; Correct table: future_projects; Retrieved 1 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
3,2026-02-04T11:26:49.678315,ما هي المناقصات المتاحة في منطقة الرياض؟,region_filter,tenders_full_details,success,"SELECT tender_name, government_entity FROM tenders_full_details WHERE (execution_location LIKE '%الرياض%') AND execution_location LIKE '%الرياض%' LIMIT 20",20,توجد 20 مناقصة متاحة في منطقة الرياض، تشمل مناقصات لتوريد قطع غيار كهرباء، ادوات سباكة، بلك وبلاط، صيانة الشوارع والارصفة، توريد محروقات، توريد استراحة سائقين، تأمين وتوريد أعلام، توريد أحبار آلات طباعة، وتوريد ادوية ولوازم طبية.,1.00,1.00,0.822,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
4,2026-02-04T11:26:50.592289,أعرض المشاريع المستقبلية في منطقة مكة المكرمة,region_filter,future_projects,no_data,"SELECT project_name, project_nature, project_description FROM future_projects WHERE execution_location LIKE '%مكة المكرمة%' LIMIT 20",0,عذرا، غير متوفرة البيانات اللازمة لتحليل هذا السؤال.,1.00,1.00,0.914,True,True,True,Valid SQL generated; Correct table: future_projects; Query executed but no data matched,Appropriate response for no-data/error; Arabic language used; No data to verify numbers against; No hallucination markers
5,2026-02-04T11:26:51.535590,ما هي أكثر الجهات الحكومية من حيث عدد المناقصات؟,aggregation,tenders_full_details,success,"SELECT government_entity, COUNT(*) as count FROM tenders_full_details GROUP BY government_entity ORDER BY count DESC LIMIT 10",10,تظهر البيانات أن الشؤون الصحية بوزارة الحرس الوطني هي الجهة الحكومية التي لديها أكبر عدد من المناقصات، حيث بلغ عددها 694 مناقصة، يليها القوات البرية ب162 مناقصة، ثم القوات البحرية ب147 مناقصة. يبلغ مجموع عدد المناقصات 1414، بمتوسط 141.4 مناقصة لكل جهة.,1.00,1.00,0.943,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 10 rows,Substantive response for success status; Arabic language used; Contains 6 numbers; No hallucination markers
6,2026-02-04T11:26:52.283785,توزيع المناقصات حسب حالتها,distribution,tenders_full_details,success,"SELECT tender_status, COUNT(*) as count FROM tenders_full_details GROUP BY tender_status ORDER BY count DESC LIMIT 20",20,يظهر من البيانات أن معظم المناقصات في حالة معتمدة، حيث بلغت 1330 مناقصة، يليها مرحلة فحص العروض ب 403 مناقصة، وتم فتح العروض ب 139 مناقصة. يبلغ مجموع المناقصات 2413، بمتوسط 120.7 مناقصة لكل حالة.,1.00,1.00,0.748,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 6 numbers; No hallucination markers
7,2026-02-04T11:26:53.367870,ما هي أنواع المناقصات المتاحة؟,lookup,tender_types,error,,0,عذرا، غير متوفرة البيانات اللازمة لتحليل هذا السؤال.,0.00,1.00,1.084,False,True,False,No valid SQL generated; Expected table tender_types not found in SQL; No data retrieved,Appropriate response for no-data/error; Arabic language used; No data to verify numbers against; No hallucination markers
8,2026-02-04T11:26:54.100852,ما هي المناطق السعودية في قاعدة البيانات؟,lookup,regions,success,SELECT region_name FROM regions LIMIT 20,13,تتضمن قاعدة البيانات 13 منطقة سعودية وهي منطقة الرياض، منطقة مكة المكرمة، منطقة المدينة المنورة، منطقة القصيم، المنطقة الشرقية، منطقة عسير، منطقة تبوك، منطقة حائل، منطقة الحدود الشمالية، منطقة جازان، منطقة نجران، منطقة الباحة، منطقة الجوف,1.00,1.00,0.733,True,True,True,Valid SQL generated; Correct table: regions; Retrieved 13 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
9,2026-02-04T11:26:54.607849,كم عدد المشاريع المخططة لسنة 2024؟,time_filter,future_projects,success,SELECT COUNT(*) as total FROM future_projects WHERE year = 2024,1,عدد المشاريع المخططة لسنة 2024 هو 0,1.00,1.00,0.507,True,True,True,Valid SQL generated; Correct table: future_projects; Retrieved 1 rows,Substantive response for success status; Arabic language used; Contains 2 numbers; No hallucination markers
10,2026-02-04T11:26:55.368235,ما هي المناقصات المجانية؟,value_filter,tenders_full_details,success,"SELECT tender_name, tender_number, tender_document_value FROM tenders_full_details WHERE tender_document_value = 0 LIMIT 20",20,المناقصات المجانية هي المناقصات التي لا تطلب أي رسوم وثائق، حيث بلغت قيمة وثائق المناقصات المجانية 0، وبلغ متوسط قيمة الوثائق 0.0، وتم تسجيل 20 مناقصة مجانية,1.00,1.00,0.745,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 4 numbers; No hallucination markers
